     N       ID            S1G1            S1G2            S1G3            S2G1            S2G2            S2G3        DETECTOR                    
   283     4122        9303.110       14854.669        6796.918       10393.514       12986.202        7522.251           S1
   284     4124       12769.555       18017.315        5808.133        1497.670        6831.705        4949.094           S1
   285     4125       30954.335       27764.771        5802.400         654.360        3713.828        2714.351           S1
   286     4126         206.841        1018.473         604.067        6025.457        9855.859        3816.521           S2
   287     4129        2016.806        3450.536        3288.764         535.069        1827.538        2689.795           S1
   288     4130         166.511         198.249         139.722        5159.543        6304.776        1772.388           S2
   289     4148         165.925         710.019         665.739       14821.330       16963.663        4535.192           S2
   290     4153         160.896        1320.315        1276.277       12707.961       23835.987       10894.590           S2
   291     4160         251.625         578.936         276.098        5256.168        4628.330        1023.342           S2
   292     4161         150.434         378.430         162.378       15903.393        9690.086        1607.125           S2
   293     4167         212.037        1952.839        2934.887       44919.350       52518.336       18847.522           S2
   294     4169       10910.460       16727.053        9234.957         151.849        1699.402        3787.942           S1
   295     4178       23819.634       39105.328       15358.380       19474.535       43669.033       21661.959           S2
   296     4179        2594.087        5080.050        2774.628         345.832        2231.529        2444.863           S1
   297     4190        5194.068       11403.086       10768.024        3267.402        9622.754       11271.652           S1
   298     4195        2378.418        7106.594        5394.703          55.149         324.592         782.781           S1
   299     4197          38.020          99.096          73.183        1921.674        1851.763         197.219           S2
   300     4202        5394.213        5107.576        1578.149        3238.588        3895.092        1722.489           S1
   301     4214       68857.496       64645.243       22652.285         788.020        2519.523        2996.545           S1
   302     4216        4032.977        5212.109        3374.589         107.450         182.133         282.718           S1
   303     4218        3633.703        3363.983        1134.447          10.759         132.467         150.494           S1
   304     4221        1233.815        3788.602        2531.723        1433.807        4394.945        3534.330           S2
   305     4222        3371.448       11004.286        6558.937       10012.146       23182.499       12217.459           S2
   306     4230        1414.136        1320.388         217.329        2099.350        2275.412         576.356           S2
   307     4234       17826.337       21324.068        9328.994           0.667         846.255        5300.096           S1
   308     4239        6806.213        7946.035        2342.988         126.683         485.541         568.667           S1
   309     4242       13263.786       23029.375       12607.093         644.674        2507.828        3511.251           S1
   310     4243         748.412        2281.164        2619.875          15.193         224.286         661.993           S1
   311     4260         144.984         390.799         590.823        8482.815        7066.216        3014.705           S2
   312     4263       18029.384       19643.618        6684.509        1445.983        6143.182        4730.513           S1
   313     4266          90.878         359.770         592.855       10232.262        6617.019        1984.215           S2
   314     4276        2312.245        2887.232         872.723          52.638         437.305         572.711           S1
   315     4286          52.389         597.917         826.999       18345.293       16671.428        5362.162           S2
   316     4288       44439.798       74364.884       38152.004        2276.021       17203.632       23401.510           S1
