         №                       ID                 DETECTOR           SnontrG1_StrG1           SnontrG2_StrG2           SnontrG3_StrG3       SnontrG2G3_StrG2G3       SnontrG1G2_StrG1G2   SnontrG1G2G3_StrG1G2G3              StrG2_StrG1              StrG3_StrG2                         
       193                     3717                       S2                    0.226                    0.221                    0.187                    0.218                    0.223                    0.222                    1.148                    0.097
       194                     3722                       S2                    0.013                    0.023                    0.577                    0.037                    0.016                    0.020                    0.417                    0.026
       195                     3725                       S1                    0.329                    0.598                    1.048                    0.655                    0.460                    0.499                    0.952                    0.143
       196                     3743                       S2                    1.294                    0.777                    0.496                    0.760                    1.020                    1.002                    1.127                    0.068
       197                     3748                       S2                    0.027                    0.042                    0.338                    0.100                    0.033                    0.062                    0.732                    0.246
       198                     3752                       S2                    0.028                    0.220                    0.251                    0.228                    0.144                    0.163                    1.529                    0.365
       199                     3753                       S2                    0.376                    0.491                    0.463                    0.487                    0.431                    0.433                    0.922                    0.147
       200                     3755                       S1                    0.040                    0.137                    0.319                    0.185                    0.097                    0.135                    1.419                    0.358
       201                     3757                       S1                    0.020                    0.660                    1.083                    0.710                    0.397                    0.446                    1.428                    0.133
       202                     3758                       S1                    0.016                    0.087                    0.375                    0.111                    0.026                    0.031                    0.174                    0.089
       203                     3761                       S1                    0.043                    0.155                    0.473                    0.195                    0.104                    0.131                    1.220                    0.142
       204                     3767                       S1                    0.030                    0.126                    0.374                    0.156                    0.084                    0.104                    1.251                    0.138
       205                     3784                       S1                    0.005                    0.079                    0.358                    0.101                    0.031                    0.040                    0.537                    0.083
       206                     3785                       S2                    0.152                    0.278                    0.343                    0.295                    0.229                    0.249                    1.593                    0.349
       207                     3790                       S2                    0.047                    0.108                    0.151                    0.115                    0.080                    0.086                    1.159                    0.186
       208                     3793                       S1                    0.222                    0.531                    0.855                    0.586                    0.374                    0.417                    0.959                    0.202
       209                     3794                       S1                    2.126                    2.646                    3.164                    2.788                    2.470                    2.610                    1.960                    0.379
       210                     3801                       S2                    0.008                    0.046                    0.123                    0.061                    0.028                    0.039                    1.153                    0.249
       211                     3802                       S2                    0.041                    0.090                    0.080                    0.089                    0.063                    0.064                    0.825                    0.098
       212                     3805                       S2                    1.511                    1.149                    0.884                    1.060                    1.267                    1.170                    2.073                    0.505
       213                     3804                       S2                    0.059                    0.074                    0.262                    0.086                    0.064                    0.069                    0.498                    0.070
       214                     3808                       S1                    0.107                    0.173                    0.524                    0.199                    0.124                    0.132                    0.345                    0.081
       215                     3810                       S1                    0.585                    0.841                    1.020                    0.874                    0.717                    0.748                    1.060                    0.224
       216                     3812                       S1                    0.061                    0.146                    0.354                    0.182                    0.103                    0.126                    0.982                    0.210
       217                     3813                       S1                    0.079                    0.311                    1.098                    0.361                    0.143                    0.161                    0.385                    0.068
       218                     3824                       S2                    0.057                    0.066                    0.375                    0.075                    0.060                    0.064                    0.601                    0.030
       219                     3837                       S2                    0.214                    0.300                    0.177                    0.291                    0.257                    0.254                    0.980                    0.075
       220                     3839                       S1                    0.060                    0.206                    0.494                    0.225                    0.106                    0.114                    0.457                    0.069
       221                     3840                       S2                    0.422                    0.399                    0.679                    0.425                    0.411                    0.424                    0.958                    0.104
       222                     3843                       S1                    0.003                    0.051                    0.716                    0.069                    0.016                    0.021                    0.360                    0.027
       223                     3852                       S2                    0.856                    0.790                    0.657                    0.764                    0.821                    0.802                    1.117                    0.244
       224                     3853                       S2                    0.025                    0.113                    0.178                    0.122                    0.070                    0.078                    1.038                    0.160
       225                     3856                       S2                    0.043                    0.124                    0.309                    0.137                    0.069                    0.074                    0.471                    0.072
       226                     3857                       S2                    0.018                    0.104                    0.217                    0.127                    0.065                    0.084                    1.214                    0.254
       227                     3998                       S2                    0.035                    0.097                    0.218                    0.119                    0.070                    0.087                    1.350                    0.228
       228                     3863                       S1                    0.071                    0.254                    0.582                    0.297                    0.172                    0.203                    1.235                    0.150
       229                     3873                       S2                    0.020                    0.126                    0.214                    0.151                    0.086                    0.112                    1.679                    0.411
       230                     3880                       S2                    0.105                    0.026                    0.154                    0.042                    0.067                    0.073                    0.928                    0.139
       231                     3881                       S1                    0.776                    1.050                    1.455                    1.082                    0.919                    0.942                    1.101                    0.085
       232                     3882                       S1                    0.360                    0.686                    0.963                    0.711                    0.471                    0.487                    0.516                    0.098
       233                     3886                       S1                    0.026                    0.045                    0.350                    0.079                    0.033                    0.046                    0.531                    0.124
       234                     3895                       S2                    0.969                    0.761                    0.683                    0.747                    0.837                    0.817                    1.747                    0.228
       235                     3902                       S1                    0.013                    0.058                    0.024                    0.055                    0.034                    0.034                    0.858                    0.105
       236                     3907                       S2                    0.258                    0.346                    0.393                    0.351                    0.302                    0.307                    0.998                    0.132
       237                     3910                       S1                    0.047                    0.147                    0.272                    0.161                    0.102                    0.112                    1.199                    0.121
       238                     3914                       S1                    0.049                    0.084                    0.164                    0.095                    0.069                    0.077                    1.374                    0.160
       239                     3919                       S1                    0.071                    0.180                    0.341                    0.193                    0.122                    0.131                    0.897                    0.088
       240                     3921                       S1                    0.024                    0.306                    0.688                    0.353                    0.183                    0.220                    1.297                    0.139
       241                     3922                       S1                    0.605                    0.985                    1.352                    1.023                    0.770                    0.798                    0.764                    0.117
       242                     3924                       S2                    0.238                    0.261                    0.353                    0.271                    0.251                    0.257                    1.221                    0.121
       243                     3943                       S2                    0.594                    0.567                    0.591                    0.571                    0.579                    0.580                    1.275                    0.193
       244                     3951                       S1                    0.012                    0.053                    0.308                    0.068                    0.022                    0.026                    0.340                    0.061
       245                     3952                       S2                    0.200                    0.306                    0.118                    0.282                    0.261                    0.250                    1.373                    0.144
       246                     3956                       S1                    0.751                    0.901                    0.983                    0.929                    0.846                    0.880                    1.725                    0.524
       247                     3962                       S2                    0.076                    0.178                    0.300                    0.212                    0.134                    0.163                    1.283                    0.387
       248                     3964                       S1                    0.095                    0.355                    0.812                    0.422                    0.223                    0.269                    0.971                    0.170
       249                     3969                       S2                    0.031                    0.099                    0.181                    0.120                    0.072                    0.090                    1.465                    0.331
       250                     3970                       S1                    0.011                    0.056                    0.204                    0.067                    0.027                    0.031                    0.539                    0.074
