ID                      S1G1nom         S1G2nom         S1G3nom         S2G1nom         S2G2nom         S2G3nom         S1BG1nom        S1BG2nom        S1BG3nom        S2BG1nom        S2BG2nom        S2BG3nom        dS1             dS2             dBS1            dBS2           
2599                      0.921           5.576           4.253          23.530          29.579          11.358        1279.408         506.162         184.066        1452.567         543.838         182.333          -0.006          -0.090          -0.248          -0.265
2600                    181.609         222.309          29.619           0.000           0.171          11.548        1477.141         578.007         207.880        1657.040         618.273         208.476          -0.144          -0.390          -0.338          -0.356
2620                     32.620          82.010          33.386          67.502         156.737          72.807        1323.472         713.383         354.024        1477.596         766.872         366.383          -0.046          -0.050          -0.197          -0.213
2626                      0.000           0.253           7.017          21.696          42.154          23.130        1351.822         527.314         189.051        1512.580         556.141         187.849          -2.269          -0.052          -0.269          -0.289
2630                     19.915          85.158          61.470         166.983         278.729         132.036        1308.955         521.121         190.710        1509.514         556.218         188.287          -0.013          -0.068          -0.266          -0.290
2637                      8.972          71.128         172.629         513.997        2549.156        4383.891        1323.832         521.203         188.611        1510.295         555.484         187.690           0.104           0.069          -0.264          -0.286
2638                    323.836         570.384         112.886           0.017          35.135          16.410        1466.918         582.625         212.710        1709.890         630.184         213.370          -0.101          -0.000          -0.342          -0.368
2639                      0.014           2.870           1.019          51.268          42.498           7.432        1298.208         521.384         192.495        1516.951         560.107         189.996          -0.591          -0.158          -0.260          -0.285
2661                     16.553          75.014          12.262        1404.249        2391.126        1039.866        1304.211         517.484         188.738        1493.575         549.763         185.903          -0.015          -0.063          -0.251          -0.272
2663                      0.000           2.460          29.401         211.752         357.689         168.633        1288.050         516.812         190.625        1468.373         552.269         188.723          -0.036          -0.060          -0.246          -0.266
2668                   1496.010         891.088         147.274          20.425          89.996          37.542        1453.613         584.584         216.121        1701.747         637.988         217.489          -0.276          -0.028          -0.330          -0.355
2671                     17.836          44.264          21.271         631.506         897.549         240.196        1336.655         528.323         191.946        1490.650         559.591         191.720          -0.036          -0.082          -0.248          -0.265
2673                     -0.000          -1.018          -0.722          46.506          37.352           9.548        1304.444         527.252         195.920        1485.494         562.566         193.982          -0.859          -0.156          -0.250          -0.270
2696                    497.530        1783.417        1831.784           6.891          66.904         144.131        1460.925         597.731         224.848        1668.397         635.013         222.097          -0.002           0.062          -0.323          -0.348
2716                     30.378          61.441          31.446         348.890        1081.075        1061.021        1278.761         532.469         203.871        1463.735         557.900         195.404          -0.044           0.004          -0.230          -0.254
2717                    245.731         801.815        1241.080          24.728          50.827          68.054        1423.920         597.000         230.165        1640.673         631.167         223.141           0.090           0.094          -0.314          -0.342
2719                    889.595        2032.330        1853.469           3.270          22.643          52.724        1434.040         595.171         227.127        1661.720         632.586         221.289          -0.019           0.123          -0.318          -0.346
2721                      0.000           0.650           7.914         123.147         102.298          26.207        1286.881         535.042         204.545        1473.365         560.479         195.922          -1.266          -0.144          -0.234          -0.259
2725                    497.402         388.174          99.306          18.767          88.547          57.558        1450.103         597.985         226.730        1643.708         628.993         221.188          -0.218          -0.021          -0.319          -0.344
2737                    559.096         473.839         147.077           4.398          54.181          57.127        1440.031         599.745         229.677        1644.465         631.664         222.974          -0.201          -0.001          -0.317          -0.345
2763                    441.036         750.528         244.724           0.000           2.606          88.167        1444.888         603.490         231.777        1748.165         655.524         225.851          -0.101          -0.075          -0.322          -0.357
2764                      0.473           5.405           3.631          66.143          66.729          18.755        1299.346         540.270         206.561        1545.576         577.452         198.224          -0.003          -0.123          -0.241          -0.271
2771                     39.547          68.090          24.344         112.836         194.566          65.772        1312.296         537.304         202.262        1533.507         573.770         197.247          -0.065          -0.065          -0.243          -0.269
2772                      6.947           3.177           1.337         112.339          94.229          16.646        1279.764         527.484         199.901        1498.201         562.784         194.244          -0.218          -0.145          -0.239          -0.265
2775                      4.837          19.123          15.274         195.015         173.408          62.228        1288.552         534.461         203.833        1496.557         568.037         198.120          -0.009          -0.134          -0.240          -0.266
2794                    521.744        1276.903        1076.540          -0.000          -0.000          -0.000        1425.285         601.048         233.082        1691.636         648.149         228.214          -0.029 -5415521096299067.000          -0.319          -0.351
2795                    321.118         591.881         314.075           1.198          25.835          67.055        1438.151         604.752         233.848        1685.740         648.281         229.112          -0.081           0.037          -0.320          -0.350
2800                     59.095          57.500          23.861          11.600          13.314           9.894        1468.168         605.074         229.281        1713.488         652.087         228.038          -0.170          -0.082          -0.323          -0.351
2815                    223.508         277.090         133.805           9.219          66.682          81.020        1445.993         613.939         239.715        1680.505         656.954         236.045          -0.127           0.006          -0.314          -0.343
2816                     22.719         124.231          30.196        1009.120        1375.257         273.530        1289.838         544.579         211.437        1478.569         577.501         207.313          -0.011          -0.085          -0.230          -0.253
2818                    179.808         729.616         967.229           3.114          22.808          69.763        1482.898         613.381         233.285        1674.981         647.235         229.849           0.031           0.239          -0.318          -0.342
2828                      0.000           0.358          11.148          92.853         113.012          36.678        1348.817         581.471         230.544        1538.491         615.869         226.632          -0.104          -0.116          -0.258          -0.285
2841                     14.091          26.149          23.917         233.663         675.796         544.505        1330.703         559.936         216.661        1494.007         587.413         212.284          -0.008          -0.015          -0.246          -0.269
2842                     20.932          64.034          40.061          56.205         117.299          60.722        1336.430         562.896         218.021        1503.734         589.988         212.761          -0.025          -0.048          -0.247          -0.270
2845                      1.818          53.824          57.841        9053.389       20818.185        8638.669        1329.322         546.050         206.230        1496.177         576.262         203.974           0.000          -0.047          -0.254          -0.275
2851                      0.000           0.187           2.807          62.253          64.020          23.124        1348.379         557.181         211.697        1499.335         580.002         206.201          -4.411          -0.121          -0.248          -0.270
2868                     65.948         102.961          57.754           2.100           9.515          13.670        1469.134         616.012         237.516        1668.976         648.365         231.491          -0.095           0.040          -0.322          -0.350
2875                    147.644         152.378          31.639           0.000           0.113           7.074        1445.623         617.184         242.326        1660.709         647.907         232.322          -0.177          -0.603          -0.316          -0.348
2883                    516.802         672.822         164.390           1.323          31.910          37.906        1460.844         618.298         240.654        1670.027         648.110         231.162          -0.141           0.000          -0.321          -0.352
2886                      3.506           7.611           8.218         159.573         223.273          54.619        1295.766         549.750         214.492        1501.475         577.775         204.321           0.021          -0.088          -0.239          -0.268
2902                    229.470         430.094         254.061           0.000           0.102          12.249        1457.878         621.635         243.765        1711.710         661.591         235.005          -0.077          -1.355          -0.323          -0.358
2904                     17.022         140.509         193.935          38.507         133.307         126.803        1462.379         619.732         241.520        1687.579         651.432         231.099           0.013          -0.012          -0.322          -0.355
2912                      0.000           1.301          10.519         347.534         265.666          19.282        1317.741         556.982         216.496        1501.083         579.868         205.864          -0.547          -0.157          -0.241          -0.269
2932                      3.959          36.302          17.302         213.766         266.112         103.453        1333.304         564.307         219.636        1492.111         583.749         209.903          -0.005          -0.100          -0.248          -0.274
2935                      6.615          15.371           5.227          19.392          20.907           8.526        1293.514         553.847         218.093        1495.559         582.784         208.722          -0.048          -0.115          -0.245          -0.275
