                  NN                  ID                NAME          INSTRUMENT             LOCTYPE                DATE                TIME            DETECTOR           T100START                T100            T90START                 T90              T90ERR            T50START                 T50              T50ERR                S1G1                S1G2                S1G3               S1GE1               S1GE2               S1GE3                S2G1                S2G2                S2G3               S2GE1               S2GE2               S2GE3              FLNCNT           FLNCNTERR            CENTERRA           CENTERDEC              RADIUS           LCIRCULAR            CIRCULAR	S1BG1       S1BG2      S1BG3     S2BG1       S2BG2      S2BG3
                 359                4028          GRB140716A               Swift                SPOT          2014-07-16           37676.966                  S1              -0.502             108.790              -0.114             105.586               3.620              72.832              27.776              19.480              56.260              28.042               3.640               3.005               1.708               1.175               5.702               4.320               0.386               2.829               1.757               0.351              3453.7               225.9             108.133              -60.15               0.025                  --               16605    926.100    289.400    148.100   1036.300    352.500    116.300
                 360                4029          GRB140721A                 IPN                 BOX          2014-07-21           29009.138                  S1             -59.151             154.703             -29.711             117.071               5.921              -3.215              42.063               7.609             150.638              88.712               3.993               2.635               1.575               1.012              12.593              26.828               4.872               2.600               1.567               0.896             14348.0               289.6             177.645             -37.735              11.963               16620               16621    923.800    295.000    154.400   1041.800    356.200    120.300
                 361                4030          GRB140723A            FermiLAT                SPOT          2014-07-23            5790.357                  S2              -0.370              40.498              -0.170              34.538               7.782               1.680              19.648               3.296              10.311              38.885              15.057               4.418               2.759               1.969              22.379              51.912              22.917               5.103               3.177               1.890              3028.4               149.7              210.63               -3.73               0.350               16623               16628    924.600    297.200    156.100   1032.500    356.800    121.700
                 362                4031          GRB140729A            FermiLAT                SPOT          2014-07-29            2213.751                  S2              -3.029              35.685              -3.029              32.005               5.004               0.156              10.708               2.470               7.560              28.021               9.073               4.240               2.891               2.054              38.378              67.726              30.971               5.453               3.439               2.035              3510.7               142.6              193.95               15.35               0.340               16633               16648    928.800    291.800    152.400   1022.600    354.300    116.800
                 363                4033          GRB140801A            SwiftXRT                SPOT          2014-08-01           68394.769                  S2              -0.122               7.034               0.116               6.156               0.230               0.944               4.208               0.121             192.422             175.902               5.630              11.274               7.316               3.443             547.344             562.682              11.684              14.955              11.426               4.272              4038.3                85.9             44.0688              30.938               0.001               16661               16660    930.200    296.800    153.400   1025.900    355.700    119.700
                 364                4035          GRB140808A            SwiftXRT                SPOT          2014-08-08            3239.264                  S2              -1.938               5.490              -1.938               5.202               0.706               0.140               1.844               0.520               4.819              10.538               4.815               4.362               6.086               3.469             322.425             245.715              24.042              15.674              10.440               5.101              1479.3                63.8             221.222             49.2146               0.001               16670               16673    925.900    293.100    151.300   1026.300    352.700    118.800
                 365                4036          GRB140810A            FermiLAT                SPOT          2014-08-10           67571.433                  S2              -6.706              99.122               1.392              78.992               1.765              21.312              22.272               0.321             122.613             158.380              26.853               3.240               2.132               1.343             165.855             237.290              47.522               3.468               2.445               1.303             28215.7               274.6              119.04               27.55               0.120               16678               16679    928.300    296.600    153.700   1026.000    355.100    120.700
                 366                4037          GRB140817A            SwiftXRT                SPOT          2014-08-17           25319.509                  S2              -3.541               6.709              -3.541               6.533               0.740               0.020               2.604               0.179               8.555              24.561               5.467               6.405               6.057               3.419             204.744             227.082              11.044              13.566               9.342               4.392              1723.9                79.9             127.264               58.19               0.001               16697               16704    935.500    299.500    157.800   1030.000    358.400    124.000
                 367                4038          GRB140818A            SwiftXRT                SPOT          2014-08-18           19880.472                  S2             -78.112             120.864             -69.280             107.360               7.199               3.792              24.896               1.935              19.443              32.452               4.969               2.778               1.636               1.144              63.252              74.855               9.148               3.010               1.892               1.048             10146.4               261.4             199.563             6.92254               0.001               16706               16719    934.500    298.400    156.800   1031.700    357.800    123.600
                 368                4043          GRB140825A                 IPN                 BOX          2014-08-25           24925.660                  S1              -3.104              14.080               0.656               7.344               0.338               1.872               2.832               0.181            1267.078             818.709              38.603              12.501               8.912               3.741              96.864             271.454              34.234               8.780               6.546               3.271             12070.4               136.1              88.715              -11.83               0.225               16752               16755    933.100    299.700    158.400   1038.000    359.300    123.300
                 369                4048          GRB140906C                 IPN                 BOX          2014-09-06           85872.815                  S2              -0.022               0.164              -0.016               0.132               0.031               0.004               0.080               0.011              16.853              15.704               9.379              12.800              10.694               7.417            1935.605            1753.620             412.168             143.195             122.256              73.222               353.3                23.3             314.961               1.939               0.520               16805               16807   1297.400    628.100    503.500   1427.200    697.600    467.100
                 370                4057          GRB140928A            FermiLAT                SPOT          2014-09-28           37793.602                  S1              -6.313              68.521               0.004              54.012               1.908               4.704               9.888               4.021             298.348             204.961              34.825               4.282               2.800               1.819               6.415              11.404               9.629               3.433               2.387               1.546             16426.7               228.8               43.81              -56.08               0.160               16847               16854    958.200    332.400    191.900   1065.800    391.100    159.200
                 371                4058          GRB140930B            SwiftXRT                SPOT          2014-09-30           70907.149                  S2              -0.106               0.970              -0.040               0.776               0.130               0.030               0.430               0.056              25.034              89.405              77.112              15.054              11.790               9.325             263.328             551.885             438.608              36.902              30.955              24.529               959.3                38.3             6.34767              24.294               0.001               16865               16868    968.800    319.800    178.900   1057.600    377.600    145.000
                 372                4059          GRB141005A            SwiftXRT                SPOT          2014-10-05           18787.727                  S2              -0.500               2.820              -0.366               2.382               0.388               0.086               1.306               0.191               8.640              14.406               5.936               6.900               6.891               3.979             381.369             350.040              36.617              22.545              15.949               7.733              1089.0                50.0             291.093              36.095               0.001               16888               16897    945.900    306.100    163.500   1052.000    367.300    132.000
                 373                4060          GRB141011A                 IPN                 BOX          2014-10-11           24377.666                  S2              -0.014               0.062              -0.014               0.056               0.006              -0.010               0.036               0.010              11.314              36.132              13.695               9.234              10.683               7.008             680.007            2650.103            1229.439             166.839             220.443             147.825               238.6                16.4             257.939              -9.681               0.351               16906               16907    931.500    300.800    158.700   1045.800    362.800    125.400
                 374                4063          GRB141017A               Swift                SPOT          2014-10-17           66374.721                  S1              -3.406               9.118              -3.406               8.366               1.720              -0.130               3.106               0.557             322.029             146.845               5.220              11.817               7.123               3.386               4.460               3.899               2.481               3.891               3.104               1.952              1370.5                76.3              93.601             -58.596               0.035                  --               16929    951.200    315.800    172.900   1061.300    375.700    136.500
                 375                4093          GRB141118A                 IPN                 BOX          2014-11-18           58548.540                  S2             -33.927              38.279             -33.927              37.367               1.944             -33.927               5.888              31.652               6.827               9.849               3.303               3.993               2.798               1.792               9.067              31.484               3.343               4.710               3.250               1.705              1324.7               143.7             156.874              19.079               3.532               17073               17074    943.000    313.600    168.400   1048.400    372.800    131.800
                 376                4100          GRB141202A                 IPN                 BOX          2014-12-02           40626.305                  S2              -0.174               1.390              -0.074               1.114               0.190               0.234               0.566               0.080               7.382              22.348              24.981               6.623              10.027               7.849             169.793             613.686             249.269              29.856              26.581              16.396              1197.9                43.4             143.073              54.161               1.642               17131               17136    954.400    302.100    157.300   1069.200    368.400    124.400
                 377                4102          GRB141207A            FermiLAT                SPOT          2014-12-07           69081.298                  S1              -2.331              24.651              -0.126              20.718               0.507               2.592               8.352               0.933              96.731             190.815              84.724               6.492               4.445               3.093              53.029             147.292              86.388               6.449               4.399               2.789              6791.0               133.5              159.99                3.91               0.215               17146               17155    942.200    296.200    151.100   1048.900    365.400    119.700
                 378                4103          GRB141212B               Swift                SPOT          2014-12-12           48230.404                  S2            -239.366             240.614            -239.366             240.166               3.933            -239.366              35.328             223.783               0.528               1.026               0.936               0.499               0.739               0.610               1.239               2.866               8.474               1.024               1.201               0.744              2756.8               349.1             250.869              31.749               0.050                  --               17182    950.000    304.500    157.500   1059.100    370.400    124.700
                 379                4107          GRB141215A                 IPN                 BOX          2014-12-15           48373.645                  S1              -1.322              13.722               0.880              11.104               0.304               3.120               7.408               0.162             437.608             581.062              62.692              10.144               8.206               4.311              20.346             126.949              40.778               8.359               6.027               3.685              8831.9               127.2             179.056             -52.745               0.679               17186               17187    974.300    342.900    192.300   1074.100    407.800    159.100
                 380                4110          GRB141220A               Swift                SPOT          2014-12-20           21771.666                  S2              -0.356               7.524              -0.058               6.890               0.442               0.394               2.806               0.507               6.485              23.978               4.455               5.189               6.109               3.099             261.991             264.290              14.986              13.875              10.061               5.272              2099.1                85.6             195.058              32.146               0.020                  --               17207   1094.300    415.700    225.700   1186.600    497.300    197.900
                 381                4111          GRB141221A               Swift                SPOT          2014-12-21           29229.504                  S2             -10.767              11.009             -10.767              10.861               0.673              -7.823               7.487               4.317              26.640              11.031              10.325              10.638               6.034               4.639              30.378              59.750              12.631              11.436               8.132               4.787               795.3               104.3             198.283               8.197               0.018                  --                  --   1377.000    551.000    269.700   1460.500    668.300    248.300
                 382                4113          GRB141222A            FermiLAT                SPOT          2014-12-22           25735.342                  S1              -0.040               3.320               0.002               2.286               0.859               0.066               0.718               0.085             870.237             581.836             138.776              26.015              17.923              10.506              28.657              28.077              25.664              14.632              10.261               6.312              2390.7                69.0              178.04              -57.35               0.100               17218               17225   1376.600    484.700    227.700   1508.700    608.300    209.000
                 383                4115          GRB141229A            SwiftXRT                SPOT          2014-12-29           42542.652                  S1              -0.216               7.544              -0.052               6.084               1.776               0.222               1.570               0.627             195.918             189.166              21.965              12.632               8.225               4.974              13.733              23.039               5.015               8.741               6.906               3.158              1591.1                72.5             72.4283            -19.2328               0.001               17251               17260   1007.900    321.200    164.700   1113.000    400.000    135.700
                 384                4119          GRB150118B            FermiLAT                SPOT          2015-01-18           35302.394                  S1              -1.980              62.076               4.240              36.336               0.331              15.760              12.512               0.383             265.922             376.204             110.904               4.486               3.319               2.087              85.677             225.407              98.477               4.266               3.062               1.871             30239.2               243.4              240.24              -35.75               0.500               17307               17344    983.100    307.600    159.400   1092.800    381.700    128.300
                 385                4120          GRB150118C                 IPN                 BOX          2015-01-18           80075.206                  S1              -0.030               0.074              -0.024               0.064               0.007              -0.014               0.034               0.012            1531.519            2244.451             505.716             184.498             185.682              94.884              16.516               9.366              11.628              12.235               7.090               6.195               201.6                15.4             160.077             -27.555               0.557               17324               17327    987.400    306.900    160.500   1076.000    378.900    127.800
                 386                4122          GRB150126A                MAXI                SPOT          2015-01-26           75103.524                  S1            -761.648             826.288            -755.760             783.344              36.366            -481.968             476.928              21.028              15.087              15.652               2.291               1.100               0.622               0.436              14.409              14.112               3.924               1.149               0.690               0.393             14786.7               627.8             350.503             -12.368               0.560               17352               17357    984.100    303.900    155.100   1077.700    379.600    124.100
                 387                4123          GRB150127A                 IPN                 BOX          2015-01-27           34360.537                  S2               0.000               0.000               0.000               0.000               0.000               0.000               0.000               0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000              -0.000                 0.0                 0.0             296.953              -9.416               4.349               17359                  --      0.000      0.000      0.000      0.000      0.000      0.000
                 388                4124          GRB150127B                 IPN                 BOX          2015-01-27           50911.890                  S1              -3.749              73.317               0.992              56.288               1.932               8.320              38.592               0.740             223.158             188.883              16.383               4.068               2.593               1.528              47.440             111.190              18.014               3.939               2.589               1.386             15074.7               220.8             140.184              -3.205               0.839               17360               17363    990.000    304.200    154.800   1094.400    382.000    123.400
                 389                4125          GRB150201A            SwiftXRT                SPOT          2015-02-01           49611.653                  S1              -0.298              18.042               1.168              12.784               1.630               2.240               3.568               0.119            1762.308             959.450              52.739              12.413               8.372               3.369              95.509             253.649              36.191               7.614               5.553               2.759             18260.9               162.8             11.8325            -37.6193               0.001               17368               17373   1017.800    305.000    152.000   1099.100    381.900    120.700
                 390                4126          GRB150202B            FermiLAT                SPOT          2015-02-02           86354.293                  S2              -6.208              20.992              -3.264              14.640               4.186               3.152               5.424               0.251              18.351              55.927              11.740               6.526               3.904               2.628             358.722             435.245              77.775               8.333               6.239               3.063             10767.0               145.9                86.6                59.1               0.400               17385               17422   1008.100    303.100    150.900   1098.800    381.900    119.200
                 391                4128          GRB150206A               Swift                SPOT          2015-02-06           52280.265                  S1              -9.907              58.931              -4.019              32.643               6.850               3.360              15.664               0.366             212.020             183.811              26.376               4.488               2.882               1.747               0.494            1282.529             930.758               0.488               5.185               4.127             12376.1               198.5              10.088             -63.182               0.050                  --               17427    975.000    305.500    153.400   1068.100    379.300    122.100
                 392                4129          GRB150210A            FermiLAT                SPOT          2015-02-10           80787.209                  S1              -0.080              27.712               0.072              20.824               5.261               0.624               1.808               0.077              95.394             137.810              76.458               6.161               4.015               2.928              35.781              94.317              64.708               5.826               3.830               2.435              5935.2               137.7              112.15               13.27               0.330               17438               17440    956.500    309.000    161.100   1063.500    380.800    127.300
                 393                4130          GRB150211A            SwiftXRT                SPOT          2015-02-11           42728.740                  S2              -6.201              16.361              -3.257              12.553               4.183               1.120               6.704               0.197              10.881              11.844               6.195               6.250               4.219               2.892             360.450             323.223              40.377               9.327               6.557               3.205              5946.7               119.4             254.858             55.3927               0.001               17442               17450    957.500    309.600    160.800   1062.800    380.200    127.700
                 394                4148          GRB150309A               Swift                SPOT          2015-03-09           82792.708                  S2              -3.967              58.303               0.688              37.200               8.447              10.528               9.712               0.344               4.796              15.060               6.552               3.077               2.329               1.650             283.431             241.739              29.724               4.806               3.257               1.615             15826.2               211.9             276.987               86.43               0.050                  --               17566    948.600    304.200    153.800   1063.500    376.600    122.400
                 395                4153          GRB150314A               Swift                SPOT          2015-03-14           17691.727                  S2              -0.168              14.200               0.438              10.250               0.311               1.664               4.464               0.181              24.428             125.175              44.592               7.391               4.906               3.326            1160.607            1636.266             357.069              12.534              11.899               5.800             28303.3               188.0             126.661              63.839               0.017                  --               17587    945.500    300.000    150.800   1070.400    374.100    120.600
                 396                4160          GRB150323A               Swift                SPOT          2015-03-23           10282.369                  S2            -126.461             161.533            -126.461             153.613              12.114             -52.861              61.821              41.944               2.177               3.616               0.768               1.572               1.327               0.577              33.252              22.235               2.326               2.595               1.554               0.839              3968.1               286.1             128.191              45.434               0.050                  --               17640    931.400    289.900    143.300   1054.100    367.800    114.400
                 397                4161          GRB150323B               Swift                SPOT          2015-03-23           34121.196                  S2              -1.131              60.331               0.104              54.552               2.967               5.456              36.656               2.798               3.690               6.250               1.045               2.633               2.173               0.832             237.340             110.716               8.641               4.634               2.820               1.432              7195.5               190.8             260.447              38.316               0.025                  --               17641    958.500    291.300    143.200   1058.400    369.100    115.100
                 398                4167          GRB150330A                 IPN                 BOX          2015-03-30           71538.572                  S2              -0.502             186.614               3.440             147.344               1.632             127.744              10.240               0.809               2.531              15.740               9.568               1.657               1.288               0.919             265.998             245.001              45.379               2.672               1.832               0.953             54183.7               385.4             331.028              52.297               3.839               17659               17660    946.000    301.900    152.200   1066.100    381.400    124.200
                 399                4169          GRB150403A               Swift                SPOT          2015-04-03           78852.693                  S1             -66.615             100.791              -4.791              25.527              28.211               4.400               6.688               0.412             139.719             152.251              32.412               3.263               2.115               1.346               5.360              33.961              19.803               2.846               1.997               1.166             18615.7               252.7             311.505             -62.706               0.017                  --               17677    933.500    298.600    150.300   1060.500    377.100    120.300
                 400                4176          GRB150424A               Swift                SPOT          2015-04-24           27781.073                  S1              -0.038               0.414               0.018               0.276               0.017               0.064               0.168               0.008            2197.522            4785.961            2085.564              87.318             110.925              73.527              25.958             200.196             173.417              15.789              14.124              10.049              2842.9                55.1             152.312             -26.647               0.050                  --               17752    959.000    308.000    152.600   1089.600    387.100    123.900
                 401                4178                  --                 IPN                 BOX          2015-04-27           68818.721                  S2             -50.768             119.824              -3.664              49.488               4.574              28.304               7.920               0.446             247.954             304.015              55.981               3.164               2.230               1.301             224.695             368.918              83.480               3.269               2.493               1.299             54189.5               336.8             45.4745             16.6165               4.130                  --                  --    960.600    296.200    148.300   1056.000    375.600    118.800
                 402                4179          GRB150430A               Swift                SPOT          2015-04-30            1271.466                  S1             -19.692             119.276             -13.804              74.412              43.879              -2.028              14.076               7.086              32.422              40.471               6.849               2.862               1.682               1.145               8.116              27.105               6.769               2.925               1.823               1.019              5645.5               242.6             326.491             -27.928               0.050                  --               17794    944.600    296.800    149.500   1052.400    373.900    118.600
                 403                4190          GRB150510A            FermiLAT                SPOT          2015-05-10           11988.505                  S1              -0.072              61.832               0.298              38.678               4.296               2.272              15.872               0.649             127.578             213.406              90.918               4.127               2.873               1.968              93.170             203.116             100.773               4.207               2.980               1.841             18813.4               215.3               16.16                4.79               0.360               17806               17808    925.700    297.100    148.600   1053.100    372.100    118.700
                 404                4194          GRB150514A            SwiftXRT                SPOT          2015-05-14           66905.130                  S1              -0.452               2.356              -0.282               1.962               0.308               0.118               0.810               0.167            1109.742             362.981              27.215              29.488              16.747               8.631              25.302              12.452               5.553              15.472               8.410               4.165               917.8                44.4              74.875            -60.9691               0.001               17818               17823    938.900    297.800    149.200   1055.700    374.000    118.800
                 405                4195          GRB150523A            SwiftXRT                SPOT          2015-05-23           34189.641                  S1              -0.412              35.548               1.408              32.256               0.396               8.272              23.072               0.439             123.247             227.209              51.304               5.475               3.850               2.393               3.830              16.960              17.798               2.989               3.200               1.900              9897.2               161.2             115.286            -45.4209               0.001               17866               17870    942.200    299.800    152.300   1060.200    375.000    120.300
                 406                4197          GRB150530A               Swift                SPOT          2015-05-30           42136.529                  S2              -3.989               9.989              -3.989               8.901               2.213              -1.045               2.741               3.368               5.438              11.005               4.142               4.471               4.937               2.759             214.611             127.806               3.960              11.293               7.117               2.654              1300.2                79.5             327.511              57.519               0.020               17890               17900    936.300    306.100    158.400   1059.300    378.100    124.600
                 407                4201          GRB150607A            SwiftXRT                SPOT          2015-06-07           28509.211                  S2              -0.442              25.658              -0.170              25.034               0.624               1.216              12.992               6.291               5.393               3.049               2.521               3.823               2.171               1.693              72.873              55.451               7.341               6.608               4.084               2.243              1610.9               119.6             139.989              68.436               0.000               17905               17911    939.000    302.800    155.300   1047.600    372.400    122.400
                 408                4202          GRB150608A            SwiftXRT                SPOT          2015-06-08           42325.791                  S1             -73.902              75.822             -70.958              71.726               4.404             -50.350              47.104              14.556              73.047              48.113               5.397               3.645               2.153               1.455              48.715              42.578               7.619               3.788               2.337               1.302              4053.5               197.1             13.1663             -0.6442               0.001               17917               17918    934.100    303.400    155.300   1049.800    375.400    122.200
                 409                4214          GRB150627A            SwiftXRT                SPOT          2015-06-27           15806.292                  S1              -6.241             146.529               1.264              64.080               1.042              10.000              44.720               0.480             475.355             323.433              44.999               3.202               2.115               1.248               9.863              22.849              11.029               2.788               1.720               1.037             53981.0               359.9             117.471              -51.49               0.001               17976               17982   1027.300    332.300    183.400   1137.700    412.500    147.300
                 410                4216          GRB150702A            FermiLAT                SPOT          2015-07-02           86198.645                  S1              -0.510              71.358               0.230              54.618              10.020               6.560              15.504               1.782              65.292              68.518              23.304               3.757               2.291               1.593               2.607               2.662               5.124               2.059               1.703               1.305              6554.5               199.1               52.78                 -57               0.360               17989               17995    941.900    305.900    157.800   1067.400    373.800    125.400
                 411                4217          GRB150710A               Swift                SPOT          2015-07-10            1681.682                  S2              -0.044               0.050              -0.044               0.046               0.004              -0.040               0.032               0.006              18.857               7.751               9.255              12.917               6.033               5.927             504.772            1718.600             378.500             176.125             204.353             100.200               102.9                11.3             194.484              14.309               0.025                  --               18003    940.700    304.000    158.000   1055.600    369.400    123.500
                 412                4218          GRB150710B               Swift                SPOT          2015-07-10           29133.922                  S1              -0.839               8.679              -0.128               6.256               1.838               1.120               2.912               0.248             421.346             279.736              36.512              12.516               8.213               4.733               4.937              24.311               4.570               4.344               6.684               2.949              2798.3                82.6              83.191              -46.96               0.020                  --               18019    938.200    305.700    157.900   1058.100    370.800    124.000
                 413                4221          GRB150724B            FermiLAT                SPOT          2015-07-24           67574.792                  S2             -30.183              40.679             -27.239              35.735               4.447              -6.631              12.615               4.184              46.458             103.730              31.420               4.895               3.144               2.148              53.258             124.447              49.346               5.235               3.488               2.069              7115.3               165.1              351.92                3.67               0.300               18065               18074    941.200    303.600    158.800   1061.600    370.400    124.800
                 414                4222          GRB150725A                MAXI                SPOT          2015-07-25           31454.410                  S2              -2.734              60.910               2.096              52.112               0.852              14.256              32.656               0.437              87.771             198.488              49.352               4.075               2.851               1.837             230.135             390.829              94.047               4.602               3.537               1.895             29531.9               244.4             220.422              -2.421               0.100               18062               18073    938.800    304.200    159.300   1060.000    371.100    124.700
                 415                4230          GRB150817A               Swift                SPOT          2015-08-17            7524.146                  S2             -16.216              22.760             -16.216              21.000               2.928             -10.328              10.968               4.172              66.314              42.756               2.682               6.492               3.821               1.847             101.258              81.130               9.228               7.147               4.446               2.420              2055.3               115.2             249.643             -12.066               0.050                  --                  --    926.400    301.100    157.200   1061.400    368.800    124.200
                 416                4233          GRB150819B                 IPN                 BOX          2015-08-19           38000.750                  S2              -0.008               1.208              -0.002               0.706               0.159               0.018               0.590               0.023              61.977             176.988              57.199              18.408              12.789               8.601            1173.371            1440.572             364.883              42.983              38.726              20.140              2179.3                52.7              59.386              39.701               0.709               18176               18180    939.300    304.500    160.600   1058.500    371.100    125.100
                 417                4234          GRB150821A               Swift                SPOT          2015-08-21           35074.166                  S1             -13.169             173.425              -7.281             111.473              19.256               5.328              31.088               1.231             117.447              99.866              16.670               2.527               1.528               1.011               0.197              25.967               9.417               0.196               1.511               0.883             20190.4               317.7             341.906             -57.875               0.050                  --               18200    990.100    304.900    160.700   1144.500    370.400    125.900
